library,input,uniquely_mapped,multiple_loci,too_many_loci,percent_unmapped_too_many_mismatches,percent_unmapped_too_short
IL7017-709-501,69716,42543,19373,1035,2.12%,6.68%
IL7017-709-502,837128,558306,161803,4012,1.55%,11.79%
IL7017-709-503,70309,43821,13951,568,1.63%,15.15%
IL7017-709-504,758870,500096,175187,4725,2.64%,7.58%
IL7017-709-505,1497663,1083877,272904,8649,1.79%,6.82%
IL7017-709-506,529206,361654,113187,4471,1.77%,7.25%
IL7017-709-507,1419254,975767,272847,6723,1.65%,9.71%
IL7017-709-508,1284189,929722,261705,4036,1.58%,5.16%
IL7017-710-501,877999,649598,156686,3485,2.27%,5.33%
IL7017-710-502,1432552,1048685,252977,6113,1.93%,6.60%
IL7017-710-503,1254519,770340,387501,4978,1.98%,5.20%
IL7017-710-504,924433,643472,151031,3209,4.22%,9.34%
IL7017-710-505,1302197,914374,236947,10405,2.40%,8.16%
IL7017-710-506,1228169,809877,224118,1866,2.01%,13.45%
IL7017-710-507,1422436,1079853,256589,7269,2.56%,2.82%
IL7017-710-508,1105041,904359,136215,8008,2.35%,2.52%
IL7024-708-501,6938963,5382566,1141480,33479,1.65%,3.67%
IL7024-708-502,6508120,4640329,1294902,75250,1.67%,5.67%
IL7024-708-503,5979427,4632445,994021,36132,1.61%,3.53%
IL7024-708-504,4894278,3746314,841519,24669,1.78%,3.88%
IL7024-708-505,5947537,4485964,1116379,30781,1.65%,3.51%
IL7024-708-506,6298199,4628277,1243155,47308,1.62%,4.18%
IL7024-708-507,5777772,4356521,1077271,21466,1.60%,3.91%
IL7024-708-508,5683231,4166842,969338,88943,1.68%,6.12%
IL7024-709-501,6584901,4953619,1226294,34848,1.46%,4.01%
IL7024-709-502,4593729,3247807,930282,36068,1.59%,6.53%
IL7024-709-503,5693823,4340049,1074689,20638,1.44%,3.01%
IL7024-709-504,5022961,3856709,894817,15924,1.63%,3.38%
IL7024-709-505,5460463,4209413,998578,8405,1.44%,2.99%
IL7024-709-506,5074356,3644693,1049457,33756,1.60%,5.08%
IL7024-709-507,4276057,2886177,886567,43099,1.75%,8.80%
IL7024-709-508,4105086,3164265,691577,9326,1.56%,4.24%
IL7024-710-501,4413735,3260573,859305,21174,1.59%,4.51%
IL7024-710-502,4419836,3448384,732442,14981,1.55%,3.43%
IL7024-710-503,4044132,2730561,1003983,25124,1.58%,5.29%
IL7024-710-504,4901065,3843636,835130,18760,1.75%,2.31%
IL7024-710-505,4158493,3129705,731329,16284,1.73%,4.91%
IL7024-710-506,4522988,3245154,887807,40143,1.68%,5.81%
IL7024-710-507,4798721,3487511,974998,28987,1.59%,4.63%
IL7024-710-508,4463670,3294417,846594,21584,1.63%,4.97%
IL7024-711-501,4356283,3102863,942682,22106,1.67%,4.86%
IL7024-711-502,5092316,3850134,942987,23406,1.64%,3.66%
